"";"name";"brewery";"beer_type";"alc";"blg";"fermentation";"price"
"338";"Nepomucen Mark #4 0,5l puszka";"nepomucen";"stout";10;27,5;"top";21,99
"339";"Nepomucen Meet Our Friends Funky Fluid 0,5l";"nepomucen";"ipa";10,5;26;"top";11,99
"340";"Nepomucen Meet Our Friends Monsters 0,5l";"nepomucen";"ipa";6,4;16,5;"top";13,99
"341";"Nepomucen Meet Our Places A Good Thug 0,5l";"nepomucen";"pils";5,2;12,4;"bottom";8,49
"342";"Nepomucen Meet Our Places Multicultural";"nepomucen";"ipa";7;16,5;"top";12,99
"343";"Nepomucen Meet Our Places Naked Foot 0,5l";"nepomucen";"ipa";6,9;15,1;"top";11,99
"344";"Nepomucen Pollock 0,5l puszka";"nepomucen";"ipa";10;21;"top";12,99
"345";"Nepomucen Sabro 0,5l puszka";"nepomucen";"ipa";7,8;19;"top";13,99
"346";"Nepomucen Triple-Triple 0,5l puszka";"nepomucen";"ipa";8,5;21;"top";14,99
"347";"Nepomucen Two-Headed Giant 0,5l puszka";"nepomucen";"ipa";9,5;23;"top";14,99
"348";"Nepomucen Wood Pecker – But. 0,5l";"nepomucen";"ale";4,9;12;"top";8,49
"349";"Nook Cinnamon Danish – 0,5l puszka";"nook";"stout";6;19;"top";11,99
"350";"Nook DDH Desitka – But. 0,5l";"maryensztadt";"lager";4,4;10;"bottom";12,99
"351";"Palatum Black Eternity 0,5l puszka";"palatum";"stout";9,9;24;"top";15,99
"352";"Palatum Imperial Primus 0,5l puszka";"palatum";"ipa";7,6;18;"top";13,99
"353";"Palatum Miss Smoke 0,5l puszka";"palatum";"ipa";6,5;15,5;"top";12,48
"354";"Palatum Sinus – 0,5l puszka";"palatum";"ipa";6,3;14,5;"top";12,99
"355";"Palatum Tryumf 0,5l puszka";"palatum";"ipa";6,6;15,5;"top";13,39
"356";"Palatum Warsaw – 0,5l puszka";"palatum";"apa";5,2;12,5;"top";11,99
"357";"Palatum Xmas Stout 0,5l puszka";"palatum";"stout";6,5;16,6;"top";12,48
"358";"Palhajs Niemdłe Niefiltrowane-  But. 0,5l";"staropolski";"lager";4,7;10;"bottom";5,19
"359";"Paulaner Weissbier Dunkel 0,5l";"paulaner";"pszeniczne";5,3;12,3;"top";6,99
"360";"Perun Biały duch – But. 0,5l";"perun";"ipa";7,8;18;"top";10,39
"361";"Perun Czarny duch – But. 0,5l";"perun";"ale";7,5;18;"top";10,39
"362";"Perun Dziedzictwo Marynka- But. 0,5l";"perun";"ale";5,6;13;"top";8,49
"363";"Perun Los Chmurnika Sencha Earl Grey";"perun";"ipa";6;15;"top";10,98
"364";"Perun Raróg guarana/yerba/herbata";"perun";"ipa";7;16;"top";9,99
"365";"Perun Raróg ze świerkiem 0,5l";"perun";"ipa";7;16;"top";9,99
"366";"Perun Strzygoń- Pastry Sour- But. 0,5l";"perun";"stout";7,2;19;"top";12,29
"367";"Perun Ziarno prawdy Grejpfrut pomarańcza 0,5l";"perun";"pszeniczne";4,8;12;"top";8,99
"368";"Perun Ziarno Prawdy Hefeweizen 0,5l";"perun";"pszeniczne";4,8;12;"top";8,99
"369";"Perun Żmij American Red Ale 0,5l";"perun";"ale";4,8;13;"top";8,49
"370";"Perun Żmij ze smoczym owocem 0,5l";"perun";"ale";4,8;13;"top";8,99
"371";"Pinta A Ja Pale Ale – but 500 ml";"pinta";"apa";5;12;"top";8,49
"372";"Pinta Atak chmielu – But. 0,5l";"pinta";"ipa";6,1;15;"top";9,69
"373";"Pinta Barrel Brewing Liberty 0,33l";"pinta";"stout";13;30;"top";35,99
"374";"Pinta Barrel Brewing Synergy 0,33l";"pinta";"stout";13;30;"top";35,99
"375";"Pinta Barrel Immensity – But. 0,33l";"pinta";"stout";13;35;"top";35,99
"376";"Pinta Bawarka-pszeniczne- But. 0,5l";"pinta";"pszeniczne";5,7;13;"top";7,49
"377";"Pinta Farm to Pint 0,5l puszka";"pinta";"ipa";8,1;20;"top";13,99
"378";"Pinta Havana Stout – But. 0,5l";"pinta";"stout";6,9;16,5;"top";9,99
"379";"Pinta Hazy Discovery Berlin 0,5l puszka";"pinta";"ipa";8,5;20;"top";13,99
"380";"Pinta Hazy Discovery Copenhagen 0,5l puszka";"pinta";"ipa";6,5;16,5;"top";13,99
